#Caleva Laboratory Solutions
#serial number,807025
#software version,2.14
#result,MTR-MA
#created,2024-11-13T11:33:11.173Z
#notes,SM Test 15g Lac 5g MCC
#parent,MTR-MA-3-recipe.csv
#pump calibration factor,0.98778071334214
#loadcell calibration date,2024-11-13T11:03:25.790Z
#termination,abandoned
#comments,
step,mix_time_s,log_time_s,speed_rpm,binder_ratio,meantorque_Nm,correctedMLT_Nm,avg_ambtemp_C,avg_temp_ir_C,notes,image
1,00:18,00:12,50,,0.171,0,21.3,20.5,Baseline,
2,00:18,00:12,50,,0.171,0,20.8,23.7,15g La 5g MCC,
3,00:18,00:12,50,0.05,0.174,0.003,20.5,24,ml,
4,00:18,00:12,50,0.1,0.183,0.012,20.3,24,ml,
5,00:18,00:12,50,0.15,0.203,0.032,20.3,23.8,ml,
6,00:18,00:12,50,0.2,0.258,0.087,20.3,23.9,ml,
7,00:18,00:12,50,0.25,0.301,0.13,20.4,24,ml,
8,00:18,00:12,50,0.3,0.336,0.165,20.9,23.5,ml,yes
9,00:18,00:12,50,0.35,0.329,0.158,20.3,23.6,ml,
10,00:18,00:12,50,0.4,0.262,0.091,20.5,23.3,ml,yes
11,00:18,00:12,50,0.45,0.262,0.091,20.3,23.3,ml,
12,00:18,00:12,50,0.5,0.238,0.067,20.2,23.1,ml,yes
13,00:18,00:12,50,0.55,0.192,0.021,20,23,ml,
14,00:18,00:12,50,0.6,0.184,0.013,20,23,ml,
15,00:18,00:12,50,0.65,0.182,0.011,20,23,ml,
16,00:18,00:12,50,0.7,0.186,0.015,19.9,23,ml,
17,00:18,00:12,50,0.75,0.19,0.019,20,23,ml,
18,00:18,00:12,50,0.8,0.183,0.012,19.8,23,ml,
19,00:18,00:12,50,0.85,0.18,0.009,19.8,22.9,ml,
20,00:18,00:12,50,0.9,0.178,0.007,19.8,22.9,ml,
21,00:18,00:12,50,0.95,0.179,0.008,19.8,22.9,ml,
22,00:18,00:12,50,1,0.182,0.011,19.7,22.9,ml,
