#Caleva Laboratory Solutions
#recipe,MTR-MA
#created,2024-11-13T11:13:25.695Z
#updated,2024-11-13T12:01:53.577Z
#notes,SM Test 15g Lac 5g MCC
#locked,true
step,pause,speed_rpm,mix_time_s,log_time_s,pumprate_mlph,material,binder_ratio,notes
1,N,50,18,12,,,,Baseline
2,Y,50,18,12,,20,,15g La 5g MCC
3,N,50,18,12,1800,1,0.050,ml
4,N,50,18,12,1800,1,0.100,ml
5,N,50,18,12,1800,1,0.150,ml
6,N,50,18,12,1800,1,0.200,ml
7,N,50,18,12,1800,1,0.250,ml
8,Y,50,18,12,1800,1,0.300,ml
9,N,50,18,12,1800,1,0.350,ml
10,Y,50,18,12,1800,1,0.400,ml
11,N,50,18,12,1800,1,0.450,ml
12,Y,50,18,12,1800,1,0.500,ml
13,N,50,18,12,1800,1,0.550,ml
14,N,50,18,12,1800,1,0.600,ml
15,N,50,18,12,1800,1,0.650,ml
16,N,50,18,12,1800,1,0.700,ml
17,N,50,18,12,1800,1,0.750,ml
18,N,50,18,12,1800,1,0.800,ml
19,N,50,18,12,1800,1,0.850,ml
20,N,50,18,12,1800,1,0.900,ml
21,N,50,18,12,1800,1,0.950,ml
22,N,50,18,12,1800,1,1.000,ml

