#Caleva Laboratory Solutions
#serial number,807025
#software version,2.14
#result,MTR-MA
#created,2024-11-13T12:23:11.604Z
#notes,standard ma a/l
#parent,MTR-MA-4-recipe.csv
#pump calibration factor,1.0201227830832198
#loadcell calibration date,2024-11-13T11:03:25.790Z
#termination,completed
#comments,
step,mix_time_s,log_time_s,speed_rpm,binder_ratio,meantorque_Nm,correctedMLT_Nm,avg_ambtemp_C,avg_temp_ir_C,notes,image
1,00:18,00:12,50,,0.161,0,19.8,19.1,Baseline,
2,00:18,00:12,50,,0.17,0.009,19.7,22.1,g,
3,00:18,00:12,50,0.02,0.174,0.013,19.4,22.4,ml,
4,00:18,00:12,50,0.04,0.18,0.019,19.4,22.4,ml,
5,00:18,00:12,50,0.06,0.184,0.023,19.2,22.4,ml,
6,00:18,00:12,50,0.08,0.187,0.026,19.2,22.4,ml,
7,00:18,00:12,50,0.1,0.186,0.025,20,22.1,ml,yes
8,00:18,00:12,50,0.12,0.188,0.027,19.7,22.2,ml,
9,00:18,00:12,50,0.14,0.197,0.036,19.4,22.2,ml,
10,00:18,00:12,50,0.16,0.223,0.062,19.3,22.2,ml,
11,00:18,00:12,50,0.18,0.257,0.096,19.4,22.3,ml,
12,00:18,00:12,50,0.2,0.314,0.153,19.8,22.2,ml,yes
13,00:18,00:12,50,0.22,0.345,0.184,19.6,22.4,ml,
14,00:18,00:12,50,0.24,0.397,0.236,19.5,22.5,ml,
15,00:18,00:12,50,0.26,0.481,0.32,19.4,22.6,ml,
16,00:18,00:12,50,0.28,0.57,0.409,19.3,22.7,ml,
17,00:18,00:12,50,0.3,0.611,0.45,19.6,22.6,ml,yes
18,00:18,00:12,50,0.32,0.706,0.545,19.6,22.8,ml,
19,00:18,00:12,50,0.34,0.759,0.598,19.3,23.1,ml,
20,00:18,00:12,50,0.36,0.777,0.616,19.3,23.1,ml,
21,00:18,00:12,50,0.38,0.833,0.672,19.2,23.3,ml,
22,00:18,00:12,50,0.4,0.826,0.665,19.6,23,ml,yes
23,00:18,00:12,50,0.42,0.877,0.716,19.6,23.2,ml,
24,00:18,00:12,50,0.44,0.92,0.759,19.4,23.3,ml,
25,00:18,00:12,50,0.46,1.06,0.899,19.3,23.5,ml,
26,00:18,00:12,50,0.48,1.078,0.917,19.4,23.5,ml,
27,00:18,00:12,50,0.5,1.036,0.875,19.7,23.2,ml,yes
28,00:18,00:12,50,0.52,1.073,0.912,19.4,23.4,ml,
29,00:18,00:12,50,0.54,1.171,1.01,19.3,23.6,ml,
30,00:18,00:12,50,0.56,1.257,1.096,19.3,23.7,ml,
31,00:18,00:12,50,0.58,1.245,1.084,19.3,23.8,ml,
32,00:18,00:12,50,0.6,1.214,1.053,19.2,23.9,ml,
33,00:18,00:12,50,0.62,1.191,1.03,19.2,24,ml,
34,00:18,00:12,50,0.64,1.17,1.009,19.1,24.1,ml,
35,00:18,00:12,50,0.66,1.148,0.987,19.2,24,ml,
36,00:18,00:12,50,0.68,1.142,0.981,19.1,24,ml,
37,00:18,00:12,50,0.7,1.09,0.929,19.1,24,ml,
38,00:18,00:12,50,0.72,1.068,0.907,19,24,ml,
39,00:18,00:12,50,0.74,1.026,0.865,19.1,24,ml,
40,00:18,00:12,50,0.76,0.976,0.815,19.3,24,ml,
41,00:18,00:12,50,0.78,0.95,0.789,19.3,24,ml,
42,00:18,00:12,50,0.8,0.905,0.744,19.2,24,ml,
