#Caleva Laboratory Solutions
#recipe,MTR-MA
#created,2024-11-13T12:19:19.973Z
#updated,2024-11-13T12:58:49.817Z
#notes,standard ma a/l
#locked,true
step,pause,speed_rpm,mix_time_s,log_time_s,pumprate_mlph,material,binder_ratio,notes
1,N,50,18,12,,,,Baseline
2,Y,50,18,12,,25,,g
3,N,50,18,12,900,0.5,0.020,ml
4,N,50,18,12,900,0.5,0.040,ml
5,N,50,18,12,900,0.5,0.060,ml
6,N,50,18,12,900,0.5,0.080,ml
7,Y,50,18,12,900,0.5,0.100,ml
8,N,50,18,12,900,0.5,0.120,ml
9,N,50,18,12,900,0.5,0.140,ml
10,N,50,18,12,900,0.5,0.160,ml
11,N,50,18,12,900,0.5,0.180,ml
12,Y,50,18,12,900,0.5,0.200,ml
13,N,50,18,12,900,0.5,0.220,ml
14,N,50,18,12,900,0.5,0.240,ml
15,N,50,18,12,900,0.5,0.260,ml
16,N,50,18,12,900,0.5,0.280,ml
17,Y,50,18,12,900,0.5,0.300,ml
18,N,50,18,12,900,0.5,0.320,ml
19,N,50,18,12,900,0.5,0.340,ml
20,N,50,18,12,900,0.5,0.360,ml
21,N,50,18,12,900,0.5,0.380,ml
22,Y,50,18,12,900,0.5,0.400,ml
23,N,50,18,12,900,0.5,0.420,ml
24,N,50,18,12,900,0.5,0.440,ml
25,N,50,18,12,900,0.5,0.460,ml
26,N,50,18,12,900,0.5,0.480,ml
27,Y,50,18,12,900,0.5,0.500,ml
28,N,50,18,12,900,0.5,0.520,ml
29,N,50,18,12,900,0.5,0.540,ml
30,N,50,18,12,900,0.5,0.560,ml
31,N,50,18,12,900,0.5,0.580,ml
32,N,50,18,12,900,0.5,0.600,ml
33,N,50,18,12,900,0.5,0.620,ml
34,N,50,18,12,900,0.5,0.640,ml
35,N,50,18,12,900,0.5,0.660,ml
36,N,50,18,12,900,0.5,0.680,ml
37,N,50,18,12,900,0.5,0.700,ml
38,N,50,18,12,900,0.5,0.720,ml
39,N,50,18,12,900,0.5,0.740,ml
40,N,50,18,12,900,0.5,0.760,ml
41,N,50,18,12,900,0.5,0.780,ml
42,N,50,18,12,900,0.5,0.800,ml

